	start	end	index_col
0	330000	460000	0
1	540000	630000	1
2	790000	940000	2
3	1290000	1420000	3
4	1480000	1720000	4
5	1980000	2160000	5
6	2330000	2440000	6
7	2660000	2970000	7
8	3030000	3300000	8
9	3860000	4070000	9
10	4090000	4570000	10
11	4580000	4710000	11
12	4740000	4930000	12
13	5100000	5170000	13
14	5180000	5430000	14
15	5570000	5630000	15
16	6800000	7850000	16
17	8110000	8290000	17
18	9390000	9590000	18
19	9960000	10410000	19
20	10650000	11200000	20
21	11250000	11530000	21
22	12900000	13090000	22
23	13100000	13530000	23
24	13800000	14040000	24
25	14700000	14820000	25
26	15690000	16460000	26
27	16780000	17420000	27
28	17520000	17900000	28
29	19180000	19650000	29
30	19760000	19980000	30
31	20060000	20220000	31
32	20340000	20550000	32
33	20640000	20810000	33
34	21210000	21490000	34
35	21700000	22300000	35
36	22320000	22560000	36
37	22670000	23330000	37
38	23420000	23590000	38
39	23770000	23980000	39
40	25270000	25390000	40
41	30040000	30100000	41
42	30150000	30210000	42
43	30250000	30310000	43
44	30440000	30540000	44
45	31260000	31370000	45
46	31490000	31690000	46
47	32040000	32250000	47
48	32450000	32660000	48
49	32890000	33110000	49
50	33140000	33360000	50
51	33460000	33550000	51
52	33730000	33860000	52
53	33890000	34040000	53
54	34050000	34290000	54
55	34580000	34730000	55
56	34790000	35070000	56
57	35230000	35520000	57
58	36010000	36160000	58
59	36190000	36630000	59
60	36680000	36850000	60
61	37430000	37510000	61
62	38510000	39330000	62
63	39610000	39730000	63
64	39800000	39970000	64
65	40370000	41820000	65
66	42370000	42710000	66
67	42740000	42820000	67
68	42840000	42940000	68
69	43010000	43240000	69
70	43310000	43370000	70
71	43370000	43500000	71
72	43990000	44070000	72
73	44220000	44410000	73
74	44930000	45040000	74
75	45180000	45320000	75
76	45380000	45650000	76
77	45890000	46020000	77
78	46410000	47240000	78
79	47270000	47530000	79
80	47740000	47840000	80
81	47950000	48140000	81
82	48220000	48470000	82
83	48590000	48690000	83
84	48730000	48790000	84
85	48800000	49080000	85
86	49080000	49200000	86
87	49600000	49930000	87
88	49990000	50250000	88
89	50740000	50840000	89
90	52190000	52560000	90
91	52710000	52820000	91
92	52830000	53270000	92
93	53280000	54930000	93
94	55120000	55580000	94
95	55660000	55920000	95
96	55970000	56060000	96
97	56230000	56760000	97
98	56960000	57230000	98
99	57480000	57560000	99
100	57660000	57790000	100
101	58170000	58330000	101
102	58780000	60470000	102
103	60640000	60700000	103
104	60880000	60960000	104
105	62330000	62500000	105
106	62610000	62670000	106
