"V1" "V2" "V3" "V4"
"1" "SMIM26" "GO:0016021" "integral component of membrane" "The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"2" "MACROD2" "GO:0005634" "nucleus" "A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"3" "MACROD2" "GO:0005730" "nucleolus" "A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
"4" "MACROD2" "GO:0005813" "centrosome" "A structure comprised of a core structure (in most organisms, a pair of centrioles) and peripheral material from which a microtubule-based structure, such as a spindle apparatus, is organized. Centrosomes occur close to the nucleus during interphase in many eukaryotic cells, though in animal cells it changes continually during the cell-division cycle."
"5" "MACROD2" "GO:0006974" "cellular response to DNA damage stimulus" "Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."
"6" "MACROD2" "GO:0007420" "brain development" "The process whose specific outcome is the progression of the brain over time, from its formation to the mature structure. Brain development begins with patterning events in the neural tube and ends with the mature structure that is the center of thought and emotion. The brain is responsible for the coordination and control of bodily activities and the interpretation of information from the senses (sight, hearing, smell, etc.)."
"7" "MACROD2" "GO:0016798" "hydrolase activity, acting on glycosyl bonds" "Catalysis of the hydrolysis of any glycosyl bond."
"8" "MACROD2" "GO:0019213" "deacetylase activity" "Catalysis of the hydrolysis of an acetyl group or groups from a substrate molecule."
"9" "MACROD2" "GO:0042278" "purine nucleoside metabolic process" "The chemical reactions and pathways involving one of a family of organic molecules consisting of a purine base covalently bonded to a sugar ribose (a ribonucleoside) or deoxyribose (a deoxyribonucleoside)."
"10" "MACROD2" "GO:0051725" "protein de-ADP-ribosylation" "The process of removing one or more ADP-ribose residues from a protein."
"11" "TMEM189" "GO:0005737" "cytoplasm" "All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
