sym    name	start	end	TAD
NRSN2	neurensin 2	346782	359660	1
TRIB3	tribbles pseudokinase 3	362835	397559	1
RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1	407498	430966	1
TCF15	transcription factor 15	603797	610398	2
FAM110A	family with sequence similarity 110 member A	833715	857463	3
ANGPT4	angiopoietin 4	869899	916317	3
SDCBP2	syndecan binding protein 2	1309909	1329239	4
FKBP1A	FK506 binding protein 1A	1368978	1393172	4
SIRPD	signal regulatory protein delta	1534251	1558843	5
SIRPB1	signal regulatory protein beta 1	1563521	1620061	5
SIRPG	signal regulatory protein gamma	1629152	1657779	5
TGM6	transglutaminase 6	2380908	2432753	7
EBF4	early B cell factor 4	2692878	2760108	8
CPXM1	carboxypeptidase X, M14 family member 1	2794069	2800637	8
C20orf141	chromosome 20 open reading frame 141	2814987	2815833	8
TMEM239	transmembrane protein 239	2816302	2820284	8
PCED1A	PC-esterase domain containing 1A	2835314	2841190	8
VPS16	VPS16, CORVET/HOPS core subunit	2840703	2866732	8
GNRH2	gonadotropin releasing hormone 2	3043622	3045747	9
MRPS26	mitochondrial ribosomal protein S26	3045945	3048254	9
OXT	oxytocin/neurophysin I prepropeptide	3071620	3072517	9
AVP	arginine vasopressin	3082556	3084724	9
UBOX5	U-box domain containing 5	3107573	3160196	9
FASTKD5	FAST kinase domains 5	3146519	3159897	9
LZTS3	leucine zipper tumor suppressor family member 3	3162617	3173592	9
DDRGK1	DDRGK domain containing 1	3190350	3204685	9
ITPA	inosine triphosphatase	3208868	3223870	9
SLC4A11	solute carrier family 4 member 11	3227417	3239190	9
PANK2	pantothenate kinase 2	3888839	3929882	10
RNF24	ring finger protein 24	3927309	4015582	10
SMOX	spermine oxidase	4120980	4187747	11
ADRA1D	adrenoceptor alpha 1D	4220631	4249074	11
PRNP	prion protein	4686236	4701590	12
RASSF2	Ras association domain family member 2	4780023	4823645	13
PCNA	proliferating cell nuclear antigen	5114953	5126626	14
PROKR2	prokineticin receptor 2	5302040	5314369	15
LAMP5	lysosomal associated membrane protein family member 5	9514358	9530524	19
ANKEF1	ankyrin repeat and EF-hand domain containing 1	9986126	10058303	20
SNAP25	synaptosome associated protein 25	10218830	10307418	20
ISM1	isthmin 1	13221771	13300651	24
SEL1L2	SEL1L2 ERAD E3 ligase adaptor subunit	13849247	13996443	25
DSTN	destrin, actin depolymerizing factor	17569863	17609919	29
RRBP1	ribosome binding protein 1	17613678	17682295	29
BANF2	barrier to autointegration factor 2	17693672	17735871	29
INSM1	INSM transcriptional repressor 1	20368121	20370949	33
XRN2	5'-3' exoribonuclease 2	21303304	21389827	35
NKX2-4	NK2 homeobox 4	21395367	21398028	35
PAX1	paired box 1	21705659	21718486	36
SSTR4	somatostatin receptor 4	23035386	23036812	38
THBD	thrombomodulin	23045633	23049741	38
CD93	CD93 molecule	23079349	23086340	38
CSTL1	cystatin like 1	23439685	23444930	39
CST11	cystatin 11	23450403	23452857	39
CST8	cystatin 8	23491101	23496018	39
CST9L	cystatin 9 like	23564732	23568749	39
CST2	cystatin SA	23823769	23826731	40
CST5	cystatin D	23875935	23879750	40
DEFB116	defensin beta 116	31303212	31308585	46
HM13	histocompatibility minor 13	31514428	31577923	47
ID1	inhibitor of DNA binding 1, HLH protein	31605283	31606515	47
COX4I2	cytochrome c oxidase subunit 4I2	31637888	31645006	47
HCK	HCK proto-oncogene, Src family tyrosine kinase	32052188	32101856	48
TM9SF4	transmembrane 9 superfamily member 4	32109506	32167258	48
PLAGL2	PLAG1 like zinc finger 2	32192503	32207791	48
POFUT1	protein O-fucosyltransferase 1	32207880	32238667	48
SUN5	Sad1 and UNC84 domain containing 5	32983773	33004433	50
BPIFB2	BPI fold containing family B member 2	33007600	33023709	50
BPIFB6	BPI fold containing family B member 6	33031648	33044047	50
BPIFB3	BPI fold containing family B member 3	33055424	33073628	50
BPIFA2	BPI fold containing family A member 2	33161768	33181412	51
BPIFA3	BPI fold containing family A member 3	33217310	33227758	51
BPIFA1	BPI fold containing family A member 1	33235995	33243311	51
BPIFB1	BPI fold containing family B member 1	33273480	33309878	51
ZNF341	zinc finger protein 341	33731657	33792269	53
CHMP4B	charged multivesicular body protein 4B	33811304	33854366	53
EIF2S2	eukaryotic translation initiation factor 2 subunit beta	34088298	34112332	55
ASIP	agouti signaling protein	34194569	34269344	55
TP53INP2	tumor protein p53 inducible nuclear protein 2	34704290	34713439	56
GGT7	gamma-glutamyltransferase 7	34844720	34872860	57
ACSS2	acyl-CoA synthetase short chain family member 2	34872146	34927962	57
GSS	glutathione synthetase	34928430	34955817	57
MYH7B	myosin heavy chain 7B	34975403	35002437	57
EIF6	eukaryotic translation initiation factor 6	35278907	35284985	58
FAM83C	family with sequence similarity 83 member C	35285731	35292401	58
UQCC1	ubiquinol-cytochrome c reductase complex assembly factor 1	35302566	35412141	58
GDF5OS	growth differentiation factor 5 opposite strand	35433029	35435450	58
GDF5	growth differentiation factor 5	35433347	35454746	58
CEP250	centrosomal protein 250	35455164	35519280	58
AAR2	AAR2 splicing factor homolog	36236459	36270918	60
DLGAP4	DLG associated protein 4	36306336	36528637	60
MYL9	myosin light chain 9	36541484	36551447	60
TGIF2	TGFB induced factor homeobox 2	36573488	36593950	60
RAB5IF	RAB5 interacting factor	36605734	36612557	60
DSN1	DSN1 homolog, MIS12 kinetochore complex component	36751791	36773818	61
ADIG	adipogenin	38581195	38588463	63
ARHGAP40	Rho GTPase activating protein 40	38601934	38651035	63
