"symbol" "name" "start" "end" "TAD"
"DEFB125" "defensin beta 125" 87250 97094 1
"DEFB126" "defensin beta 126" 142369 145751 1
"DEFB127" "defensin beta 127" 157470 159163 1
"DEFB128" "defensin beta 128" 187853 189681 1
"DEFB129" "defensin beta 129" 227258 229886 1
"DEFB132" "defensin beta 132" 257736 261096 1
"C20orf96" "chromosome 20 open reading frame 96" 270863 290778 1
"ZCCHC3" "zinc finger CCHC-type containing 3" 296968 300321 1
"SOX12" "SRY-box 12" 325595 330224 1
"NRSN2" "neurensin 2" 346782 359660 1
"TRIB3" "tribbles pseudokinase 3" 362835 397559 1
"RBCK1" "RANBP2-type and C3HC4-type zinc finger containing 1" 407498 430966 1
"TBC1D20" "TBC1 domain family member 20" 435480 462553 1
"CSNK2A1" "casein kinase 2 alpha 1" 473591 543821 1
"TCF15" "transcription factor 15" 603797 610398 1
"SRXN1" "sulfiredoxin 1" 646615 653370 1
"SCRT2" "scratch family transcriptional repressor 2" 661596 676179 1
"SLC52A3" "solute carrier family 52 member 3" 760080 776015 1
"FAM110A" "family with sequence similarity 110 member A" 833715 857463 1
"ANGPT4" "angiopoietin 4" 869899 916317 1
"RSPO4" "R-spondin 4" 958452 1002264 1
"PSMF1" "proteasome inhibitor subunit 1" 1113263 1189415 1
"TMEM74B" "transmembrane protein 74B" 1180561 1185415 1
"C20orf202" "chromosome 20 open reading frame 202" 1203454 1208274 1
"RAD21L1" "RAD21 cohesin complex component like 1" 1226056 1296421 1
"SNPH" "syntaphilin" 1266316 1309328 1
"SDCBP2" "syndecan binding protein 2" 1309909 1329239 1
"FKBP1A" "FK506 binding protein 1A" 1368978 1393172 1
"NSFL1C" "NSFL1 cofactor" 1442162 1473842 1
"SIRPB2" "signal regulatory protein beta 2" 1470741 1491587 1
"SIRPD" "signal regulatory protein delta" 1534251 1558843 1
"SIRPB1" "signal regulatory protein beta 1" 1563521 1620061 1
"SIRPG" "signal regulatory protein gamma" 1629152 1657779 1
"SIRPA" "signal regulatory protein alpha" 1894167 1940592 1
"PDYN" "prodynorphin" 1978757 1994285 1
"STK35" "serine/threonine kinase 35" 2101611 2177038 1
"TGM3" "transglutaminase 3" 2296001 2341078 1
"TGM6" "transglutaminase 6" 2380908 2432753 1
"SNRPB" "small nuclear ribonucleoprotein polypeptides B and B1" 2461634 2470853 1
"ZNF343" "zinc finger protein 343" 2481817 2524702 1
"TMC2" "transmembrane channel like 2" 2536607 2641784 1
"NOP56" "NOP56 ribonucleoprotein" 2652145 2658393 1
"IDH3B" "isocitrate dehydrogenase 3 (NAD(+)) beta" 2658395 2664219 1
"EBF4" "early B cell factor 4" 2692878 2760108 1
"CPXM1" "carboxypeptidase X, M14 family member 1" 2794069 2800637 1
"C20orf141" "chromosome 20 open reading frame 141" 2814987 2815833 1
"TMEM239" "transmembrane protein 239" 2816302 2820284 1
"PCED1A" "PC-esterase domain containing 1A" 2835314 2841190 1
"VPS16" "VPS16, CORVET/HOPS core subunit" 2840703 2866732 1
"PTPRA" "protein tyrosine phosphatase, receptor type A" 2864184 3039076 1
"GNRH2" "gonadotropin releasing hormone 2" 3043622 3045747 1
"MRPS26" "mitochondrial ribosomal protein S26" 3045945 3048254 1
"OXT" "oxytocin/neurophysin I prepropeptide" 3071620 3072517 1
"AVP" "arginine vasopressin" 3082556 3084724 1
"UBOX5" "U-box domain containing 5" 3107573 3160196 1
"FASTKD5" "FAST kinase domains 5" 3146519 3159897 1
