"Chromosome" "Start" "End"
"1" "chr20" 40000 3680000
"2" "chr20" 3880000 4600000
"3" "chr20" 4760000 5120000
"4" "chr20" 5200000 5480000
"5" "chr20" 5480000 6080000
"6" "chr20" 6120000 7280000
"7" "chr20" 7400000 7920000
"8" "chr20" 7960000 8760000
"9" "chr20" 8760000 9400000
"10" "chr20" 9400000 10440000
"11" "chr20" 10440000 11600000
"12" "chr20" 11600000 12920000
"13" "chr20" 12920000 13800000
"14" "chr20" 13840000 15240000
"15" "chr20" 15360000 16800000
"16" "chr20" 16800000 17480000
"17" "chr20" 17480000 18000000
"18" "chr20" 18320000 20000000
"19" "chr20" 20040000 20600000
"20" "chr20" 20640000 21640000
"21" "chr20" 21720000 22320000
"22" "chr20" 22320000 23360000
"23" "chr20" 23400000 23640000
"24" "chr20" 23640000 26400000
"25" "chr20" 28520000 31000000
"26" "chr20" 31240000 34160000
"27" "chr20" 34160000 34800000
"28" "chr20" 34800000 35440000
"29" "chr20" 35560000 36440000
"30" "chr20" 36520000 36920000
"31" "chr20" 37000000 38320000
"32" "chr20" 38440000 41360000
"33" "chr20" 41400000 41680000
"34" "chr20" 41680000 43440000
"35" "chr20" 43520000 44120000
"36" "chr20" 44720000 45960000
"37" "chr20" 46000000 46360000
"38" "chr20" 46440000 46720000
"39" "chr20" 46720000 47160000
"40" "chr20" 47200000 47640000
"41" "chr20" 47640000 48640000
"42" "chr20" 48640000 48960000
"43" "chr20" 49040000 49280000
"44" "chr20" 49320000 49960000
"45" "chr20" 50120000 50600000
"46" "chr20" 50600000 51320000
"47" "chr20" 51360000 51600000
"48" "chr20" 51640000 52080000
"49" "chr20" 52120000 53560000
"50" "chr20" 53560000 54080000
"51" "chr20" 54080000 54640000
"52" "chr20" 54640000 56360000
"53" "chr20" 56520000 57080000
"54" "chr20" 57080000 57360000
"55" "chr20" 57400000 58200000
"56" "chr20" 58200000 58840000
"57" "chr20" 58880000 59520000
"58" "chr20" 59520000 61960000
"59" "chr20" 62400000 64444167
