Gene stable ID	Gene start (bp)	Gene end (bp)	Strand	HGNC symbol	Gene type
ENSG00000184731	38814	46870	-1	FAM110C	protein_coding
ENSG00000227061	197569	202605	1		antisense_RNA
ENSG00000035115	217730	266398	-1	SH3YL1	protein_coding
ENSG00000143727	264140	278283	1	ACP1	protein_coding
ENSG00000189292	279558	288851	-1	ALKAL2	protein_coding
ENSG00000228643	286419	301515	1		processed_transcript
ENSG00000235779	305111	314367	-1		lincRNA
ENSG00000277997	307683	309424	1		lincRNA
ENSG00000233684	317912	342118	1	LINC01865	lincRNA
ENSG00000236856	388412	416885	1		lincRNA
ENSG00000226277	421057	422303	1		lincRNA
ENSG00000223985	490944	492655	-1	LINC01874	lincRNA
ENSG00000284452	495731	496633	1		lincRNA
ENSG00000225942	545805	546667	1	LINC01875	lincRNA
ENSG00000233633	558204	578145	1		lincRNA
ENSG00000151353	667335	677439	-1	TMEM18	protein_coding
ENSG00000233296	677186	697371	1		antisense_RNA
ENSG00000280360	687799	688348	1		TEC
ENSG00000233970	692083	693235	-1		antisense_RNA
ENSG00000227713	724966	731224	-1		lincRNA
ENSG00000272342	739588	740164	-1		lincRNA
ENSG00000231173	741977	749856	1		lincRNA
ENSG00000223751	742488	747767	1		lincRNA
ENSG00000237667	779840	868426	-1	LINC01115	lincRNA
ENSG00000228799	900216	905451	-1	LINC01939	lincRNA
ENSG00000234796	910926	921124	-1		antisense_RNA
ENSG00000235688	949627	950274	-1		antisense_RNA
ENSG00000172554	950868	1367613	1	SNTG2	protein_coding
ENSG00000235403	1059133	1068341	-1		antisense_RNA
ENSG00000236665	1158310	1160424	-1		antisense_RNA
ENSG00000233553	1341044	1346568	-1		antisense_RNA
ENSG00000115705	1374223	1543711	1	TPO	protein_coding
ENSG00000228613	1546665	1620113	-1		antisense_RNA
ENSG00000283766	1552445	1554701	1		lincRNA
ENSG00000231482	1572554	1580311	-1		lincRNA
ENSG00000203635	1620510	1625419	-1		lincRNA
ENSG00000130508	1631887	1744852	-1	PXDN	protein_coding
ENSG00000186487	1789113	2331260	-1	MYT1L	protein_coding
ENSG00000284600	1795525	1811526	1		antisense_RNA
ENSG00000232057	1824412	1828667	1		antisense_RNA
ENSG00000225619	2319232	2327110	1	MYT1L-AS1	antisense_RNA
ENSG00000234929	2641989	2656630	-1		lincRNA
ENSG00000227364	2729908	2730957	-1		lincRNA
ENSG00000237720	2834264	2838391	-1		lincRNA
ENSG00000228391	2870558	2871231	-1		lincRNA
ENSG00000234423	2895048	3126026	-1	LINC01250	lincRNA
ENSG00000236760	3131581	3145780	-1		lincRNA
