"chr" "start" "end"
"342" "20" 330000 460000
"1247" "20" 540000 630000
"521" "20" 790000 940000
"906" "20" 1290000 1420000
"3179" "20" 1480000 1720000
"3180" "20" 1980000 2160000
"2851" "20" 2330000 2440000
"5943" "20" 2660000 2970000
"4611" "20" 3030000 3300000
"3598" "20" 3860000 4070000
"6035" "20" 4090000 4570000
"599" "20" 4580000 4710000
"2118" "20" 4740000 4930000
"466" "20" 5100000 5170000
"5793" "20" 5180000 5430000
"580" "20" 5570000 5630000
"7903" "20" 6800000 7850000
"5713" "20" 8110000 8290000
"1497" "20" 9390000 9590000
"7222" "20" 9960000 10410000
"5235" "20" 10650000 11200000
"3926" "20" 11250000 11530000
"4191" "20" 12900000 13090000
"5895" "20" 13100000 13530000
"4946" "20" 13800000 14040000
"5408" "20" 14700000 14820000
"7305" "20" 15690000 16460000
"5361" "20" 16780000 17420000
"4192" "20" 17520000 17900000
"5362" "20" 19180000 19650000
"3342" "20" 19760000 19980000
"3202" "20" 20060000 20220000
"3871" "20" 20340000 20550000
"2145" "20" 20640000 20810000
"1580" "20" 21210000 21490000
"7180" "20" 21700000 22300000
"5283" "20" 22320000 22560000
"5683" "20" 22670000 23330000
"3659" "20" 23420000 23590000
"7342" "20" 23770000 23980000
"749" "20" 25270000 25390000
"1581" "20" 30040000 30100000
"1055" "20" 30150000 30210000
"371" "20" 30250000 30310000
"897" "20" 30440000 30540000
"575" "20" 31260000 31370000
"3497" "20" 31490000 31690000
"747" "20" 32040000 32250000
"2079" "20" 32450000 32660000
"623" "20" 32890000 33110000
"2289" "20" 33140000 33360000
"934" "20" 33460000 33550000
"1498" "20" 33730000 33860000
"2236" "20" 33890000 34040000
"4130" "20" 34050000 34290000
"935" "20" 34580000 34730000
"1143" "20" 34790000 35070000
"2343" "20" 35230000 35520000
"1190" "20" 36010000 36160000
"3599" "20" 36190000 36630000
"1237" "20" 36680000 36850000
"476" "20" 37430000 37510000
"6251" "20" 38510000 39330000
"527" "20" 39610000 39730000
"288" "20" 39800000 39970000
"7117" "20" 40370000 41820000
"1037" "20" 42370000 42710000
"1524" "20" 42740000 42820000
"693" "20" 42840000 42940000
"3411" "20" 43010000 43240000
"462" "20" 43310000 43370000
"2419" "20" 43370000 43500000
"102" "20" 43990000 44070000
"5022" "20" 44220000 44410000
"807" "20" 44930000 45040000
"1456" "20" 45180000 45320000
"5286" "20" 45380000 45650000
"1476" "20" 45890000 46020000
"2359" "20" 46410000 47240000
"193" "20" 47270000 47530000
"524" "20" 47740000 47840000
"1597" "20" 47950000 48140000
"983" "20" 48220000 48470000
"284" "20" 48590000 48690000
"841" "20" 48730000 48790000
"357" "20" 48800000 49080000
"800" "20" 49080000 49200000
"3553" "20" 49600000 49930000
"1238" "20" 49990000 50250000
"3498" "20" 50740000 50840000
"174" "20" 52190000 52560000
"1112" "20" 52710000 52820000
"4018" "20" 52830000 53270000
"7343" "20" 53280000 54930000
"4193" "20" 55120000 55580000
"1946" "20" 55660000 55920000
"11" "20" 55970000 56060000
"2647" "20" 56230000 56760000
"5532" "20" 56960000 57230000
"616" "20" 57480000 57560000
"3269" "20" 57660000 57790000
"1947" "20" 58170000 58330000
"7412" "20" 58780000 60470000
"1390" "20" 60640000 60700000
"1000" "20" 60880000 60960000
"1181" "20" 62330000 62500000
"600" "20" 62610000 62670000
